0000000,884465,0
0000001,186690,280
0000002,746300,0
0000003,0,138045
0000004,746300,0
0000005,0,0
0000006,0,0
0000007,0,138045
0000008,-132255,218600
0000009,-98000,840
0000010,370,611205
0000011,0,0
0000012,134725,0
0000013,370,0
0000014,0,611205
0000015,0,611205
0000016,725,546480
0000017,32725,0
0000018,375,578105
0000019,32725,0
0000020,0,0
0000021,375,0
0000022,0,578105
0000023,32475,250
0000024,625,25850
0000025,3625,0
0000026,0,28850
0000027,3625,0
0000028,0,0
0000029,0,0
0000030,0,28850
0001018,0,578105
0001002,0,0
0000991,0,0
0001001,0,0
0001017,695,350715
0010171,545,56390
0010172,0,465130
0001681,28545,0
0000960,28505,0
0001232,0,0
0001147,28505,0
0001016,28505,0
0000866,28505,0
0001205,24255,250
0000902,26255,0
0001230,26255,0
0001682,26255,0
0001683,26255,0
0001684,26255,0
0001685,26255,0
0001686,26255,0
0001421,18110,145
0000997,0,0
0001000,0,0
0000999,0,0
0001014,560,464570
0000903,0,464570
0001687,401990,580
0000957,2540,0
0001700,40,5540
0001020,0,0
0001707,0,0
0001706,0,0
0001705,0,0
0001708,0,0
0001005,0,0
0001977,0,0
0001042,42290,185
0001041,248585,0
0001762,127825,540
0001689,16435,165
0001688,245,43010
0001702,45,73965
0001711,74965,0
0001690,20825,380
0001701,40,6785
0001043,10000,0
0001044,10000,0
0001691,10000,0
0001761,10000,0
0001692,95250,80
0001693,22080,0
0001694,0,117250
0001695,0,22080
0001696,0,0
0001697,0,22080
0001698,0,22080
0001699,22080,0
0001615,0,0
0001004,420,15660
0001003,3420,0
0001171,1170,250
0001141,0,1250
0001704,0,1250
0001709,14705,550
0001710,0,0
0000861,0,0
0001863,0,0
0001763,0,18660
0001015,0,0
0000865,18660,0
0001741,0,18660
0001748,0,0
0001749,18660,0
0001616,0,18660
0001742,12040,0
0001743,0,17540
0001777,540,2500
0001754,1540,0
0001755,1500,0
0001819,0,8540
0001830,2540,0
0001760,500,1000
0001759,0,0
0001649,0,0
0001758,500,0
0001647,0,0
0001744,3000,0
0001750,0,5540
0001201,500,0
0001834,0,0
0001646,0,0
0001745,0,0
0001751,0,0
0001822,8540,0
0001756,0,500
