19,2014-01-10,15000
282,2014-01-16,1005
286,2014-01-16,335
348,2014-01-16,335
341,2014-01-16,335
288,2014-01-16,335
292,2014-01-16,335
293,2014-01-16,335
294,2014-01-16,335
357,2014-01-16,335
359,2014-01-16,335
350,2014-01-16,335
352,2014-01-16,335
291,2014-01-16,335
295,2014-01-16,335
339,2014-01-16,335
54,2014-01-16,335
204,2014-01-16,335
237,2014-01-16,335
25,2014-01-16,1005
56,2014-01-16,335
58,2014-01-16,335
34,2014-01-16,335
30,2014-01-16,335
208,2014-01-17,335
227,2014-01-18,0
227,2014-01-18,0
227,2014-01-18,0
25,2014-01-18,0
227,2014-01-18,0
485,2014-01-19,0
227,2014-01-19,0
282,2014-01-19,0
282,2014-01-19,1675
627,2014-01-20,0
252,2014-01-20,0
567,2014-01-20,0
180,2014-01-20,0
628,2014-01-20,0
573,2014-01-20,0
195,2014-01-21,0
208,2014-01-21,670
195,2014-01-21,0
195,2014-01-21,0
453,2014-01-21,0
484,2014-01-21,0
204,2014-01-21,0
484,2014-01-21,0
30,2014-01-21,670
484,2014-01-21,0
262,2014-01-21,0
29,2014-01-21,0
346,2014-01-22,670
340,2014-01-22,335
34,2014-01-22,1005
340,2014-01-22,335
346,2014-01-22,670
29,2014-01-22,0
275,2014-01-22,335
265,2014-01-22,335
486,2014-01-22,0
24,2014-01-22,335
29,2014-01-22,0
195,2014-01-23,0
195,2014-01-23,0
204,2014-01-23,0
180,2014-01-23,0
180,2014-01-23,0
210,2014-01-24,335
209,2014-01-24,7035
627,2014-01-24,670
209,2014-01-24,1005
180,2014-01-24,0
688,2014-01-24,0
90,2014-01-24,0
747,2014-01-24,0
212,2014-01-24,0
23,2014-01-24,335
738,2014-01-24,1005
739,2014-01-24,335
741,2014-01-24,1005
745,2014-01-24,1005
740,2014-01-24,335
749,2014-01-24,670
29,2014-01-25,0
484,2014-01-25,0
484,2014-01-25,0
690,2014-01-25,0
690,2014-01-25,0
195,2014-01-25,0
484,2014-01-25,0
484,2014-01-25,0
842,2014-01-25,0
29,2014-01-25,2010
838,2014-01-25,0
484,2014-01-25,0
195,2014-01-25,0
210,2014-01-26,0
884,2014-01-26,1005
655,2014-01-25,335
484,2014-01-25,335
25,2014-01-26,0
891,2014-01-26,2010
25,2014-01-26,0
19,2014-01-26,335
887,2014-01-27,335
627,2014-01-27,335
31,2014-01-27,335
31,2014-01-27,0
195,2014-01-27,0
180,2014-01-27,0
180,2014-01-27,0
204,2014-01-27,665
54,2014-01-27,665
236,2014-01-27,335
29,2014-01-27,1005
32,2014-01-27,1005
35,2014-01-27,1005
41,2014-01-27,1005
180,2014-01-27,1005
47,2014-01-27,1005
183,2014-01-27,335
95,2014-01-27,1005
358,2014-01-27,1005
102,2014-01-27,1005
362,2014-01-27,1005
103,2014-01-27,1005
366,2014-01-27,1005
149,2014-01-27,1005
367,2014-01-27,1005
370,2014-01-27,1005
375,2014-01-27,1005
759,2014-01-27,1005
396,2014-01-27,1005
212,2014-01-27,1005
449,2014-01-27,335
227,2014-01-27,1005
746,2014-01-27,1005
231,2014-01-27,335
390,2014-01-27,335
185,2014-01-27,1005
349,2014-01-27,1005
187,2014-01-27,335
