1,282,2345,2345,2000,2000,2000
1,286,1005,1005,1000,1000,1000
1,348,1005,1005,1000,1000,1000
6,204,6030,1005,1000,1000,1000
7,237,5695,1005,1000,1000,1000
9,204,6035,5700,5000,5000,5000
9,738,1005,2345,1000,1000,1000
9,739,1005,1005,1000,1000,1000
10,54,1340,14070,1000,1000,1000
11,204,1035,1705,1000,1000,1000
12,24,19430,44220,10000,10000,10000
12,29,1005,28140,1000,1000,1000
12,95,3015,21105,3000,3000,3000
12,102,1005,1005,1000,1000,1000
12,180,9045,10050,9000,9000,9000
12,195,1675,6030,1000,1000,1000
12,212,1005,4020,1000,1000,1000
12,227,1340,1675,1000,1000,1000
12,366,4690,1005,1000,1000,1000
13,24,2010,30150,2000,2000,2000
13,25,18425,2010,2000,2000,2000
13,29,15750,27475,15000,15000,15000
13,68,9715,3015,3000,3000,3000
13,127,6700,1005,1000,1000,1000
13,130,4690,1005,1000,1000,1000
13,134,1005,1005,1000,1000,1000
13,141,2680,1005,1000,1000,1000
13,164,1340,1005,1000,1000,1000
14,24,6375,59975,6000,6000,6000
14,25,18435,4365,4000,4000,4000
14,29,15825,29225,15000,15000,15000
14,32,23785,7035,7000,7000,7000
14,35,7035,37185,7000,7000,7000
14,39,3015,3015,3000,3000,3000
14,40,3015,3015,3000,3000,3000
14,41,3015,33165,3000,3000,3000
14,42,20770,1005,1000,1000,1000
14,43,1005,1005,1000,1000,1000
14,44,1005,1005,1000,1000,1000
14,46,1005,1005,1000,1000,1000
14,47,5025,27135,5000,5000,5000
14,54,1345,15415,1000,1000,1000
14,68,11740,2025,2000,2000,2000
14,94,2010,2010,2000,2000,2000
14,104,1005,1005,1000,1000,1000
14,105,1005,1005,1000,1000,1000
14,127,9720,1010,1000,1000,1000
14,128,7035,3350,2000,2000,2000
14,141,1680,1010,1000,1000,1000
14,143,1005,1005,1000,1000,1000
14,195,1010,6705,1000,1000,1000
14,227,1010,1680,1000,1000,1000
14,921,1005,4020,1000,1000,1000
14,926,1005,2010,1000,1000,1000
15,29,16905,28630,16000,16000,16000
15,35,8075,36550,8000,8000,8000
15,38,35845,3015,3000,3000,3000
15,40,4035,4035,4000,4000,4000
15,41,6045,30500,6000,6000,6000
15,42,28815,4025,4000,4000,4000
15,50,1005,1005,1000,1000,1000
15,68,15770,3040,3000,3000,3000
15,69,2010,2010,2000,2000,2000
15,80,2010,2010,2000,2000,2000
15,83,2010,2010,2000,2000,2000
15,92,2010,4020,2000,2000,2000
15,127,11735,3025,3000,3000,3000
15,128,2010,1005,1000,1000,1000
15,129,2345,2345,2000,2000,2000
15,131,3015,1005,1000,1000,1000
15,132,1005,1005,1000,1000,1000
15,133,1005,1005,1000,1000,1000
15,134,2015,2015,2000,2000,2000
15,135,1005,1005,1000,1000,1000
15,136,1005,1005,1000,1000,1000
15,141,1685,1015,1000,1000,1000
15,165,1675,1005,1000,1000,1000
15,487,1005,1005,1000,1000,1000
17,24,4060,113605,4000,4000,4000
17,29,11960,30720,11000,11000,11000
17,32,32865,5060,5000,5000,5000
17,39,2025,3030,2000,2000,2000
17,41,8085,28520,8000,8000,8000
17,46,6035,8045,6000,6000,6000
17,54,4030,14415,4000,4000,4000
17,55,1675,2010,1000,1000,1000
17,93,4020,4020,4000,4000,4000
17,95,4035,20450,4000,4000,4000
17,105,2015,1010,1000,1000,1000
17,506,1005,1005,1000,1000,1000
17,509,1005,1005,1000,1000,1000
17,627,1005,1005,1000,1000,1000
44,24,4415,139755,4000,4000,4000
44,29,24075,26755,24000,24000,24000
44,32,45955,5085,5000,5000,5000
44,35,1080,46640,1000,1000,1000
44,38,40885,10065,10000,10000,10000
44,39,5050,1030,1000,1000,1000
44,42,30845,2035,2000,2000,2000
44,50,7040,3020,3000,3000,3000
44,54,1370,13430,1000,1000,1000
44,55,1680,1345,1000,1000,1000
44,70,3015,4020,3000,3000,3000
44,71,1005,2010,1000,1000,1000
44,104,4025,3020,3000,3000,3000
44,106,2010,2010,2000,2000,2000
44,107,1005,2010,1000,1000,1000
44,120,1005,1005,1000,1000,1000
44,204,1375,3720,1000,1000,1000
44,515,1005,1005,1000,1000,1000
44,655,1340,1005,1000,1000,1000
44,738,1010,4025,1000,1000,1000
44,739,1680,1010,1000,1000,1000
45,24,8120,167915,8000,8000,8000
45,25,24485,6060,6000,6000,6000
45,29,6105,28885,6000,6000,6000
45,38,30885,4085,4000,4000,4000
45,41,20185,26550,20000,20000,20000
45,46,20135,2045,2000,2000,2000
45,50,4040,4040,4000,4000,4000
45,79,4020,1005,1000,1000,1000
45,92,18100,2020,2000,2000,2000
45,96,1005,18090,1000,1000,1000
45,209,8710,1340,1000,1000,1000
45,931,1005,5360,1000,1000,1000
45,932,1005,3350,1000,1000,1000
45,933,1005,1340,1000,1000,1000
45,1079,7035,7035,7000,7000,7000
45,1080,3015,3015,3000,3000,3000
45,1081,3015,3015,3000,3000,3000
45,1082,1005,1005,1000,1000,1000
45,1083,1005,1005,1000,1000,1000
45,1084,1005,1005,1000,1000,1000
45,1085,1005,1005,1000,1000,1000
45,1095,1005,1005,1000,1000,1000
46,29,3120,50355,3000,3000,3000
46,35,6110,93210,6000,6000,6000
46,38,26885,3100,3000,3000,3000
46,40,5060,2045,2000,2000,2000
46,43,5030,4025,4000,4000,4000
46,44,2015,4025,2000,2000,2000
46,81,2010,2010,2000,2000,2000
46,1079,8075,8075,8000,8000,8000
46,1080,4035,4035,4000,4000,4000
46,1081,4035,4035,4000,4000,4000
46,1082,2015,2015,2000,2000,2000
